ID,Portfolio,Programme,x2005_06,x2006_07,x2007_08,x2008_09,x2009_10,x2010_11,x2011_12,x2012_13,x2013_14,x2014_15,EstimatedActual2015_16,BudgetEstimate2016_17,Status,AllocationMethod,Socio_EconomicObjective,Sector,Appropriation,About,Notes,Group1,Group2,BudgetEstimate2015_16_m,SRIBT_ID
46,"Defence","Australian Civil-Military Centre - Research and Lessons Learnt",0,0,0,0,0.304,0.774,0.875,1.254,0.453,0.386,0.521,0.445,Active,Targeted,"14. Defence",Multi-sector (Other R&D),Annual,"The Australian Civil-Military Centre’s Research Program supports best practice in building Australia’s capability to prevent and respond more effectively to conflicts and disasters overseas. The Research Program partners with government agencies, academic research institutions, international organisations and non-government organisations to identify research priorities in civil-military-police practice. The ACMC is also responsible for the management of whole-of-government lessons learned from civil-military-police coordination in conflicts and natural disasters overseas. The Lessons Program focuses on the inter-agency level of decision making and coordination.",NaN,.,".",0.66,1516042
47,"Defence","Capability Technology Demonstrator - Extension Program",0,0,2.225,10.869,10.416,10.057,10.36,0.012,0,0,0,0,. . . . .,. . . . .,"14. Defence",Multi-sector (Other R&D),Annual,".",NaN,.,".",0,1516043
48,"Defence","Defence Future Capability Technology Centre Program",0,0,1.2,3,4,4.3,5.4,6.8,6.8,4.5,6.5,3,Active,Targeted,"14. Defence",Multi-sector (Other R&D),Annual,"The Defence Future Capability Technology Centre (DFCTC) program provides the core funding for the Defence Materials Technology Centre (DMTC).  The DMTC partners with industry and research organisations to develop advanced materials and manufacturing technology that can be incorporated into defence industry products and services, directly supporting the Australian Defence Force. ",NaN,.,".",0,1617005
49,"Defence","Defence Industry Innovation Centre (DIIC)",0,0,0,0,2.754,3.236,4.35,3.5,4.923,2.493,0,0,. . . . .,. . . . .,"14. Defence",Multi-sector (Other R&D),Annual,"DIIC provides a range of services designed to link defence small to medium enterprises to new ideas, skills, technologies and markets. These include DIIC Business Advisers who deliver impartial, integrated and practical advice and services to help businesses improve productivity, build internal capacity, and capitalise on their potential growth. The DIIC also administers a small grants program to assist businesses to access professional support with business improvement. There is currently a pause in the approval of grants associated with the DIIC program pending the commencement of the Centre for Defence Industry Capability (CDIC).",NaN,.,".",3.064,1516044
50,"Defence","Jet Fuel Exposure Syndrome Study",0,0,0,0,0,0.279,0.818,1.158,0.581,0,0,0,. . . . .,. . . . .,"14. Defence",Multi-sector (Other R&D),Annual,".",NaN,.,".",0,1516045
51,"Defence","Mental Health - LASER Resilience Research",0,0,0,0,0,0,0,0,0,0.179,0.207,0.295,Active,Targeted,"14. Defence",Multi-sector (Other R&D),Annual,"The Longitudinal ADF Study Evaluating Resilience (LASER-Resilience) is a collaboration between Defence and the Australian Centre for Post-traumatic Mental Health (ACPMH). The study measures resilience and psychological wellbeing over time and is expected to identify factors leading to psychological resilience and contributing to the understanding of enhancing resilience in military members during training and service. The information gathered from the study will be used to advance mental health screening, inform mental health policy and lead future developments in psychological resilience training, such as BattleSMART.",NaN,.,".",0.222,1516046
52,"Education and Training","Australian Institute of Aboriginal and Torres Strait Islander Studies (AIATSIS)",1.93,1.835,1.795,2.089,2.038,2.391,2.138,2.927,2.977,3.006,0.797,2.993,Active,Targeted,"00. Multiple categories",Aust. Govt. (Other R&D),Annual,"Through research AIATSIS will support Aboriginal and Torres Strait Islander peoples to secure and strengthen their knowledge and cultural heritage and encourage non-Indigenous Australians to understand and value Aboriginal and Torres Strait Islander knowledge and cultural heritage.",NaN,.,".",0.797,1516047
53,"Education and Training","Australia Consensus",0,0,0,0,0,0,0,0,0,0,0.64,0,. . . . .,Targeted,"11. Political and social systems, structures and processes",Aust. Govt. (Other R&D),Annual,".",NaN,.,".",1,1516048
54,"Education and Training","Australian Research Council (ARC) - National Competitive Grants Program",544.395,570.302,571.8,585.884,652.831,708.733,808.837,879.107,886.859,853.11,815.521,744.363,Active,Competitive,"00. Multiple categories",Higher Ed. (ARC),Special,"The Australian Research Council (ARC) administers the National Competitive Grants Programme (NCGP), which supports the highest-quality fundamental and applied research and research training through national competition. The NCGP supports: high quality research leading to the discovery of new ideas and the advancement of knowledge; facilities and equipment that researchers need to be internationally competitive; researchers at different stages of their careers, including training and skills development of the next generation of researchers; incentives for Australia’s most talented researchers to work in partnership with leading researchers throughout the national innovation system and internationally, and to form alliances with Australian industry. The NCGP comprises two funding programmes Discovery and Linkage.",NaN,.,"National Innovation and Science Agenda (ARC Linkage Grants - continuous applications)",789.659,1516049
55,"Education and Training","Australian Postgraduate Awards ",93.1,94.1,96.6,101.404,151.09,182.974,218.867,248.368,266.287,276.137,282.106,142.209,Active,Formula,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,"Australian Postgraduate Awards (APAs) are paid as a block grant to eligible higher education providers (HEPs). APAs are awarded by HEPs, on a competitive basis, to students of exceptional research potential undertaking a higher degree by research in Australia. APAs assist students with their general living costs.",NaN,Funding for research and research training provided under HESA (2003).,".",282.105,1516050
56,"Education and Training","Commercialisation Training Scheme",0.4,5.5,5.5,5.519,5.633,5.737,2.863,0,0,0,0,0,. . . . .,Formula,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,".",NaN,Funding for research and research training provided under HESA (2003),".",0,1516051
57,"Education and Training","Institutional Grants Scheme ",296.113,302.035,308.076,311.3,157.272,0,0,0,0,0,0,0,. . . . .,Formula,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,".",NaN,Funding for research and research training provided under HESA (2003),".",0,1516052
58,"Education and Training","International Postgraduate Research Scholarship",18.5,18.4,19.2,19.4,19.813,20.18,20.727,21.525,22.039,22.201,22.449,11.319,Active,Formula,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,"International Postgraduate Research Scholarships (IPRS) are paid as a block grant to eligible higher education providers (HEPs). IPRS are awarded by HEPs, on a competitive basis, to overseas students to undertake a higher degree by research in Australia. IPRS cover tuition fees and health cover costs for scholarship holders, and health cover costs for their dependants.",NaN,Funding for research and research training provided under HESA (2003),".",22.449,1516053
59,"Education and Training","Joint Research Engagement Program",0,0,0,0,160.575,323.72,332.489,333.293,332.46,356.083,360.23,181.633,Active,Formula,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,"The Joint Research Engagement program (JRE) provides block grants to eligible Australian higher education providers (HEP). The JRE grant may be used to fund any activity related to research.",NaN,Funding for research and research training provided under HESA (2003),".",360.23,1516054
60,"Education and Training","National Institutes Program - ANU Component",160.742,166.629,167.725,167.536,171.054,174.214,178.246,184.423,188.8,191.3425,192.34,195.416,Active,Targeted,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,"This item refers to funds for research and research training provided to the Institute of Advanced Studies (IAS) of the Australian National University (ANU) through the ANU's operating grant.",NaN,Funding for research and research training provided under HESA (2003),".",192.34,1516055
61,"Education and Training","Regional Protection Scheme ",3.148,6.2,3.2,1.6,0,0,0,0,0,0,0,0,. . . . .,Formula,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,".",NaN,Funding for research and research training provided under HESA (2003),".",0,1516056
62,"Education and Training","Research Infrastructure Block Grants ",199.908,203.9,206,210.169,214.582,218.547,224.467,224.611,223.554,239.384,242.172,122.107,Active,Formula,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,"Research Infrastructure Block Grants (RIBG) program provides block grants to eligible Australian higher education providers (HEP). RIBG provides funding to help meet the costs incurred when carrying out research projects supported by the Australian Research Council, National Health and Medical Research Council, and other national competitive research granting programs.",NaN,Funding for research and research training provided under HESA (2003),".",242.171,1516057
63,"Education and Training","Research Investment Adjustment Scheme",0,0,0,0,0,0,0,0,0,0,0,0,Active,Targeted,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,"The RIA scheme will provide funding to assist universities, particularly those in regional areas, to help adapt to changes in the higher education environment.",NaN,Funding for research and research training provided under HESA (2003),".",8,1516058
64,"Education and Training","Research Support Program",0,0,0,0,0,0,0,0,0,0,0,402.215,Active,Formula,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,"Research Support Program (RSP) funds are paid as a block grant to eligible higher education providers (HEPs). The RSP grant supports the systemic costs of research.",NaN,Funding for research and research training provided under HESA (2003),"National Innovation and Science Agenda",0,1617006
65,"Education and Training","Research Training Program",0,0,0,0,0,0,0,0,0,0,0,505.953,Active,Formula,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,"Research Training Program (RTP) funds are paid as a block grant to eligible higher education providers (HEPs). The RTP grant supports the training of next generation of researchers and innovators by offsetting fees otherwise payable, supporting general living costs and providing ancillary allowances to students.",NaN,Funding for research and research training provided under HESA (2003),"National Innovation and Science Agenda",0,1617007
66,"Education and Training","Research Training Scheme",562.644,573.896,585.377,591.5,603.943,615.101,631.763,656.092,671.783,676.705,684.253,345.01,Active,Formula,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,"The Research Training Scheme (RTS) provides block grant funding to eligible higher education providers (HEPs). RTS funding supports the costs associated with providing research training for domestic students undertaking a higher degree by research.",NaN,Funding for research and research training provided under HESA (2003),".",649.752,1516059
67,"Education and Training","Sustainable Research Excellence in Universities",0,0,0,0,30,120.96,165.193,139.152,169.537,185.416,238.733,67.439,Active,Formula,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,"The Sustainable Research Excellence in Universities (SRE) scheme provides block grants to eligible higher education providers (HEPs). SRE provides funding to help meet the costs incurred when carrying out research projects supported by the Australian Research Council, National Health and Medical Research Council, and other national competitive research granting programs.",NaN,Funding for research and research training provided under HESA (2003),".",238.732,1516060
68,"Education and Training","Systemic Infrastructure Initiative",48.695,29.739,0,0,0,0,0,0,0,0,0,0,. . . . .,Targeted,"12. General advancement of knowledge: R&D financed from General University Funds (GUF)",Higher Ed. (Block Funding),Special,".",NaN,Funding for research and research training provided under HESA (2003),".",0,1516061
69,"Education and Training","Bond University - Grant for Health Science and Medicine Building",4.5,0,0,0,0,0,0,0,0,0,0,0,. . . . .,Targeted,"07. Health",Higher Ed. (Other R&D),Annual,".",NaN,.,".",0,1516074
70,"Education and Training","Bond University - Grant for Clinical Education and Research Centre Building",0,0,0,2.542,0,0,0,0,0,0,0,0,. . . . .,Targeted,"09. Education",Higher Ed. (Other R&D),Annual,".",NaN,.,".",0,1516077
71,"Education and Training","Australian National Institute for Public Policy",0,0,0,0,0,1.65,2.375,0.125,0.75,0,0,0,. . . . .,Targeted,"11. Political and social systems, structures and processes",Higher Ed. (Other R&D),Annual,".",NaN,Commonwealth Strategic Relationship with ANU,".",0,1516078
72,"Education and Training","Building the Australian Centre on China in the World",0,0,0,0,0,10.1,5.35,2.65,0,0,0,0,. . . . .,Targeted,"11. Political and social systems, structures and processes",Higher Ed. (Other R&D),Annual,".",NaN,Commonwealth Strategic Relationship with ANU,".",0,1516079
